log_no_quest_id, gid, cid, log_ts, aid, a_detail, uid, vid, sessionid, session_seqid, client_ts, multiplayer_uid, multiplayer_seqid
1710, 202207, 3, 1654195973, 3, {"version":"B"}, 603AAFB2-A0AB-20C7-FC14-6DB541074317, 1, 6C1C673D-9EB7-3BE4-A269-772D726ABC3B, 1, 1654195973476, NULL, 0
1711, 202207, 3, 1654195974, 4, {"version":"B"}, 603AAFB2-A0AB-20C7-FC14-6DB541074317, 1, 6C1C673D-9EB7-3BE4-A269-772D726ABC3B, 2, 1654195974427, NULL, 0
1712, 202207, 3, 1654195975, 2, {"version":"B"}, 603AAFB2-A0AB-20C7-FC14-6DB541074317, 1, 6C1C673D-9EB7-3BE4-A269-772D726ABC3B, 3, 1654195975493, NULL, 0
1718, 202207, 3, 1654196318, 2, [], 29849400-1CF5-0A03-8294-442AB19E8EE6, 1, 355758CF-337F-3A15-F1E6-812E2B347C94, 1, 1654196318869, NULL, 0
1719, 202207, 3, 1654196332, 3, {"version":"A"}, 29849400-1CF5-0A03-8294-442AB19E8EE6, 1, 75A9417E-187D-A8C0-0A19-453445B2FE20, 1, 1654196332549, NULL, 0
1720, 202207, 3, 1654196459, 2, {"version":"A"}, 29849400-1CF5-0A03-8294-442AB19E8EE6, 1, 7B23849C-D59E-2922-094E-599B84133BE4, 1, 1654196460351, NULL, 0
1721, 202207, 3, 1654196472, 5, {"version":"A"}, 29849400-1CF5-0A03-8294-442AB19E8EE6, 1, 7B23849C-D59E-2922-094E-599B84133BE4, 3, 1654196472434, NULL, 0
1722, 202207, 3, 1654196472, 2, {"version":"A"}, 29849400-1CF5-0A03-8294-442AB19E8EE6, 1, 7B23849C-D59E-2922-094E-599B84133BE4, 5, 1654196473237, NULL, 0
1723, 202207, 3, 1654196581, 2, [], 603AAFB2-A0AB-20C7-FC14-6DB541074317, 1, 089A1498-F534-41B0-1685-2D1FF4E06D6D, 1, 1654196581655, NULL, 0
1724, 202207, 3, 1654196589, 5, {"version":"A"}, 29849400-1CF5-0A03-8294-442AB19E8EE6, 1, 7B23849C-D59E-2922-094E-599B84133BE4, 57, 1654196589662, NULL, 0
